comment_id,video_id,category,depression_signal_score,self_disclosure_flag,lex_tfidf_sum,sent_neg_score,hdbscan_label,gmm_label,gmm_max_prob,tsne_x,tsne_y
UgySAyP1NAucwa-C0VN4AaABAg,Ii53BtHLnGk,mental_health,0.33268,0,1.0,0.1634,-1,0,1.0,-66.0983,-5.881872
Ugzw_XUPNY_SIOBgi_t4AaABAg,Ii53BtHLnGk,mental_health,0.3366599999999999,0,1.0,0.1833,-1,0,1.0,-69.12653,-10.966021
UgwMBXgHwE0jnJGxKux4AaABAg,Ii53BtHLnGk,mental_health,0.7162200000000001,1,1.0,0.0811,-1,0,1.0,-65.36234,-10.084937
Ugw7aoFcHLuHxXi0dDt4AaABAg,Ii53BtHLnGk,mental_health,0.6676,1,2.1022,0.088,2,0,1.0,-65.629616,-4.3903213
UgzTL4M2-WghannB0E54AaABAg,Ii53BtHLnGk,mental_health,0.91302,1,1.7142,0.5651,-1,0,0.99993896,-36.215527,24.25834
UgyKQZDfYT28bGk8An54AaABAg,Ii53BtHLnGk,mental_health,0.82492,1,1.9645,0.1246,-1,0,1.0,-69.702385,-2.9873035
UgxO4IE0OLG77uH-ACB4AaABAg,Ii53BtHLnGk,mental_health,0.34376,0,1.0,0.2188,-1,8,0.6000226,-20.3915,-15.477458
UgyRDShyhl8iytMjnIF4AaABAg,Ii53BtHLnGk,mental_health,0.3401,0,1.0,0.2005,-1,0,0.99155957,-61.92577,10.724926
UgyzFpWcmDK--ZRLZH14AaABAg,Ii53BtHLnGk,mental_health,0.02344,0,0.0,0.1172,-1,3,1.0,13.156985,77.68713
Ugzsqna90qD4t2LcUYZ4AaABAg,Ii53BtHLnGk,mental_health,0.01786,0,0.0,0.0893,-1,0,1.0,-66.97864,-14.40903
UgxukmXsLnW_tPbW2GR4AaABAg,Ii53BtHLnGk,mental_health,0.3303999999999999,0,1.4022,0.152,-1,0,1.0,-58.23873,-28.252495
UgxuPsnUpIofWbEXGFp4AaABAg,Ii53BtHLnGk,mental_health,0.4755399999999999,0,1.0,0.3777,-1,0,1.0,-69.86352,-7.1763353
UgxsBBvu1HYTvSPC1T14AaABAg,Ii53BtHLnGk,mental_health,0.81836,1,1.6858,0.5918,-1,0,1.0,-62.28944,-9.237931
UgwRazOBqpxhqYupMK14AaABAg,Ii53BtHLnGk,mental_health,0.06706,0,0.0,0.3353,-1,0,0.99606717,-59.362896,34.012897
Ugx9z3Jl0Qcjqg8P2b94AaABAg,Ii53BtHLnGk,mental_health,0.46136,0,1.3923,0.3068,-1,0,1.0,-64.2118,-8.787961
UgzoqzjsUCn66FhupcF4AaABAg,Ii53BtHLnGk,mental_health,0.87088,1,1.4076,0.3544,2,0,1.0,-64.15742,-3.9015117
UgxrhNLjgXUsMGYCXgx4AaABAg,Ii53BtHLnGk,mental_health,0.01428,0,0.0,0.0714,-1,8,0.9999275,-16.261692,-33.911133
Ugw68dAUh9nlX-S_-x14AaABAg,Ii53BtHLnGk,mental_health,0.02572,0,0.0,0.1286,-1,7,0.9986391,-41.780163,6.6494513
UgxvLG5UER1NdwzxVRN4AaABAg,Ii53BtHLnGk,mental_health,0.05204,0,0.0,0.2602,-1,0,1.0,-43.50765,20.02385
UgzE9TPLvK-I0YIs7Vx4AaABAg,Ii53BtHLnGk,mental_health,0.43442,0,1.0,0.1721,-1,0,1.0,-66.45751,-1.2721486
UgxnZgZtlxoyVFtnF8F4AaABAg,Ii53BtHLnGk,mental_health,0.76188,1,1.4114,0.3094,-1,7,0.999754,10.651735,73.7274
Ugzm_Q21ELDD1XONpm94AaABAg,Ii53BtHLnGk,mental_health,0.74752,1,1.0,0.2376,2,0,1.0,-64.71609,-6.41555
