rank,top_positive_term,pos_coef,top_negative_term,neg_coef
1,lost,8.648875010804018,they,-1.4870111088032196
2,crying,8.256307347138625,should,-1.2413704482450876
3,depression,6.962536249151129,this was,-1.0911815953396153
4,anxiety,6.8704923966671245,great,-1.0789590091575063
5,me,6.311198593631933,its,-0.9211326258893193
6,tears,6.078995014570658,trump,-0.9134101274560003
7,cried,5.622545012772791,love this,-0.8825680201302075
8,my,5.336340723033676,you do,-0.8467338861965862
9,and,5.314509025903817,39 re,-0.8406167752701393
10,cry,5.305499377544018,us,-0.8341947670083903
11,alone,5.099121530966505,routine,-0.8178045179485133
12,depressed,4.893426322390451,schizophrenia,-0.8087781400217776
13,panic,4.805894232919163,to get,-0.8059918590708031
14,tired,4.804645592553013,rest,-0.8020227616560732
15,was,4.11231187974648,done,-0.8014284085202401
16,scared,4.109565792185266,run,-0.7932907428034324
17,struggling,3.855654965448555,he 39,-0.7852394240681386
18,sad,3.7534214447387386,good,-0.7508656333429421
19,because,3.642893768237563,shit,-0.7457807859639064
20,struggle,3.5987358479425686,30,-0.7435122780028267
