video_id,category,category_label,title,channel,view_count,like_count,comment_count,title_sentiment,desc_vader,desc_polarity,desc_subjectivity,desc_word_count,desc_lexical_diversity
o9zCgPtsups,fitness_wellness,Fitness / Wellness,How To Train For Mass | Arnold Schwarzenegger's Blueprint Training Program,Bodybuilding.com,91768183,1042147,27932,0.0,0.9928,0.1926,0.4098,611,0.5499
-p0PA9Zt8zk,fitness_wellness,Fitness / Wellness,Do This Warm Up Before Your Workouts | Quick Warm Up Routine,Chloe Ting,82392196,744807,9400,0.4215,0.9833,0.2263,0.5209,413,0.5932
fQJ0eiKEjQ8,fitness_wellness,Fitness / Wellness,"it's not about being extreme, it's about being healthy, happy, free and finding BALANCE",growingannanas,80987164,3325401,10774,0.8658,0.0,0.0,0.0,0,0.0
LUrrN6cEBRQ,fitness_wellness,Fitness / Wellness,30 Min Fat Burning Cardio Workout - Bipasha Basu Unleash 'Full Routine' - Full Body Workout,Shemaroo Lifestyle,69176977,598231,17907,0.0,0.9682,0.3409,0.6071,96,0.7604
AldMMpZTejY,fitness_wellness,Fitness / Wellness,Routine for flexibility now in my bio ✅ #challenge #yoga #training #workout #amazing #gym #exercise,Kivenro,52402999,380062,1978,0.7579,0.0,0.0,0.0,0,0.0
sETqHpTSqKg,fitness_wellness,Fitness / Wellness,"My abs+SMALLER waist ⌛HOURGLASS beginner workout routine | 15 min, No equipment / OppServe",OppServe,51682557,1482157,48456,-0.296,0.8866,0.1717,0.4431,323,0.7121
LhL5SNZfnQs,fitness_wellness,Fitness / Wellness,14 Days Weight Loss Challenge - Home Workout Routine,Roberta's Gym,51400411,647138,35326,-0.25,0.9759,0.1485,0.466,234,0.6453
7KSNmziMqog,fitness_wellness,Fitness / Wellness,10 MINUTE FAT BURNING MORNING ROUTINE | Do this every day | Rowan Row,Rowan Row,40217564,990138,13814,0.0,0.9766,0.2348,0.424,132,0.7576
66iSdDPlBBc,fitness_wellness,Fitness / Wellness,Slim Your Belly Fast: 4-Minute Home Workout Routine (No Equipment!) #shorts  #weightlossjourney,Weightsculp,39734797,0,1103,0.0,0.8997,0.3889,0.69,75,0.88
8uUawnM-FD8,fitness_wellness,Fitness / Wellness,Kids Exercise - Kids Workout At Home,Roberta's Gym,36188705,214604,0,0.0,0.9872,0.2938,0.6059,128,0.7109
IT94xC35u6k,fitness_wellness,Fitness / Wellness,"20 min Fat Burning Workout for TOTAL BEGINNERS (Achievable, No Equipment)",MadFit,35538701,635871,16769,0.039,0.9681,0.1422,0.5394,120,0.725
