video_id,category,category_label,title,channel,view_count,like_count,comment_count,title_sentiment,desc_vader,desc_polarity,desc_subjectivity,desc_word_count,desc_lexical_diversity
XLmkOiHmPf0,news_current_events,News / Current Events,Orlando mom calls for end tocars speeding past stoppedschool bus#news,News nb,25884360,507648,33148,0.0,0.0,0.0,0.0,0,0.0
Tf_UjBMIzNo,news_current_events,News / Current Events,NASA's Artemis II Crew Launches To The Moon (Official Broadcast),NASA,18928507,449687,0,0.0,0.6705,0.1264,0.3792,267,0.6517
g6k55WQ5GAk,news_current_events,News / Current Events,"Trump Rages at Pope Leo, JD Vance Fumbles Iran Deal & Hungary Ousts Viktor Orban | The Daily Show",The Daily Show,7686749,236341,15186,-0.4767,0.6553,0.0294,0.2298,256,0.6641
6o1DRupvrr0,news_current_events,News / Current Events,UN NENE EN MEDIO DEL TERROR: Dispararon contra una mamá y su hijo al no poder arrancar el auto,Todo Noticias,4826056,66709,696,-0.7456,-0.3595,0.0,0.0,83,0.7711
8xByFezUtVA,news_current_events,News / Current Events,They Tried To Rob Her in Her Own Garage!,Objection Filed,4730164,194637,21316,-0.5983,0.0,0.0,0.0,10,1.0
VC1tEU_I3gk,news_current_events,News / Current Events,"Trump Attacks the Pope, Thinks He’s Jesus & Bashes Springsteen in His Most Bananas Posting Spree Yet",Jimmy Kimmel Live,4330252,137829,7306,-0.4404,0.4862,0.1573,0.4998,353,0.6601
4lkuq7Gg2AM,news_current_events,News / Current Events,"Weekend Update: U.S. and Iran Peace Talks, Melania Trump Denies Ties to Epstein - SNL",Saturday Night Live,3240189,65839,2368,0.1779,0.8113,0.1283,0.3778,84,0.869
SwjzPVnrGHk,news_current_events,News / Current Events,Patient Left on MRI Table for 6 Hours — Hospital Error Sparks Outrage | Healthcare Henry,Henry Mason Jr.,2791913,77018,12009,-0.7184,-0.7717,-0.1056,0.2456,132,0.8258
cmuvyqhTicY,news_current_events,News / Current Events,How Trump’s Advisers Felt About Going to War With Iran,The New York Times,2768087,66741,2822,-0.5994,-0.6124,0.2899,0.5182,106,0.783
S5Nv8MiqLEA,news_current_events,News / Current Events,PUMP SWITCHING:POLICE WARN DRIVE RSOFGROWING SCAM AT GAS STATIONS.#news,news story ,2748168,12225,322,-0.7626,0.0,0.0,0.0,0,0.0
4_r9oyTCI-M,news_current_events,News / Current Events,OMG: Trump’s friendly Fox interview turns into DISASTER,Brian Tyler Cohen,2249905,61750,7126,-0.3885,0.6124,0.1364,0.4545,13,0.9231
fAKrF8t7ow0,news_current_events,News / Current Events,China FM Reacts😳 Netanyahu Notice Rejected🚨#viralvideo #shortsfeed #china #israel #netanyahu #shorts,RSGNEWS24 ,1943116,0,5592,0.0,-0.7964,0.1456,0.35,253,0.7708
zKF5WmZLMQw,news_current_events,News / Current Events,Israel and South Korea clash over old West Bank video,CNN,1856896,79314,11566,0.0,0.296,0.2861,0.8111,45,0.8889
S7yJCpdRBg0,news_current_events,News / Current Events,Jewelry store owners fight back after robbers smash through front window,Eyewitness News ABC7NY,1843273,26675,2300,-0.3818,0.8164,0.2741,0.4038,115,0.8783
LUrO7hn2N-o,news_current_events,News / Current Events,Federal Judge rejects Trooper’s bid to dismiss lawsuit,WSLS 10,1799405,57869,3182,-0.6249,-0.3164,0.75,0.7,51,0.8431
OcpMXZk60S0,news_current_events,News / Current Events,"🔴 BREAKING TORNADO WARNING IN DETROIT, MICHIGAN - Tornadoes Possible With LIVE Storm Chasers...",Max Velocity - Severe Weather Center,1665878,27041,127,-0.4824,0.9225,0.1514,0.4207,299,0.7492
edK_sLNgZVM,news_current_events,News / Current Events,Melania Confronted Over Past Obama Claim 😳 #MelaniaTrump #Obama #Politics⸻,Lamont Tyson,1509678,19351,937,-0.2023,0.7882,0.1525,0.3984,150,0.82
Vv9Bh6Pu3uc,news_current_events,News / Current Events,Tucker on the New Religion of Trump’s America and His Mockery of Jesus Christ,Tucker Carlson,1367931,49771,16610,-0.3182,0.9251,0.1929,0.4726,169,0.7751
kcyBJq3MRCY,news_current_events,News / Current Events,New Jersey Cop Arrests Auditor In ID Refusal!,Crimes to Courts,1285133,20495,1221,-0.4926,-0.9837,0.0846,0.4369,386,0.7021
8UbMDzYjvuc,news_current_events,News / Current Events,"Iran Crumbles, Critics Scramble: Trump’s Long Game Leaves the Media Exposed | Victor Davis Hanson",The Daily Signal,1182997,58247,3337,-0.3612,-0.9168,0.0921,0.4254,226,0.7699
6M4lZ9ni1K8,news_current_events,News / Current Events,IHIP News: 🚨 Melania's WORST NIGHTMARE Coming True! Her Epstein SECRETS Are COMING OUT!,I've Had It,1030248,53508,5649,-0.5599,0.7787,0.2091,0.2886,53,0.8491
5iC0x3TmOto,news_current_events,News / Current Events,🚨JD Vance HECKLED in EMPTY STADIUM during Speech,MeidasTouch,1012685,47325,6859,-0.368,-0.8795,-0.115,0.6,107,0.7383
HTi8sE-QT1I,news_current_events,News / Current Events,Harris Faulkner: This is SINISTER,Fox News,998397,17524,2497,-0.6841,0.985,0.2736,0.4246,288,0.6667
h4WSpp5TIHE,news_current_events,News / Current Events,Inside Mexico’s Cartel Civil War,Channel 5 with Andrew Callaghan,942021,27684,2810,-0.5994,0.0,0.5,0.5,59,0.7458
RRnlPUzMlgY,news_current_events,News / Current Events,This Fake App Store Crypto Wallet Stole Musician's Life Savings,DeFranco News Clips,929670,33455,1146,-0.4767,0.0,0.2125,0.2625,44,0.9091
VIH1DsUhNtA,news_current_events,News / Current Events,🚨 BREAKING: IRGC Economic Collapse In Iran - Ceasefire In Lebanon - Hezbollah Reject It,Tousi TV,896642,37349,2587,-0.7096,0.0,0.4,0.4,36,0.9167
UxRuQ6oUinI,news_current_events,News / Current Events,Some Good News to get you through April!,Sam Bentley,881439,70512,838,0.4926,0.6808,0.7,0.6,14,1.0
FHpBwJt8FsM,news_current_events,News / Current Events,"ABC World News Tonight with David Muir Full Broadcast - April 15, 2026",ABC News,832513,10218,1237,0.0,-0.9932,0.1283,0.4108,398,0.7412
NVDZYjwSkck,news_current_events,News / Current Events,"Influential U.S. cardinals caution against Iran war, Trump immigration policies",60 Minutes,799429,15447,2600,-0.25,0.8748,0.3333,0.4308,138,0.7536
_dT_cJpMdz8,news_current_events,News / Current Events,Lefties Losing It: Democrat Eric Swalwell's tawdry antics exposed,Sky News Australia,746017,18499,2749,-0.4404,-0.4404,0.5,0.9,13,1.0
JM5gZwuOCk8,news_current_events,News / Current Events,Target and Whole Foods LEAVE NYC... as Mamdani Launches 5 FREE GROCERY STORES,Cash Jordan,719823,26618,7735,0.4767,0.9587,0.2455,0.4057,248,0.7218
u33zTDa95as,news_current_events,News / Current Events,Tehran Prof Marandi: Israel WILL Restart Iran War,Breaking Points,641361,24609,4178,-0.5994,0.0,0.1173,0.61,69,0.8551
JOqO8FdZbhE,news_current_events,News / Current Events,Trump’s FOX Interview on Iran Was a Total Mess,The Bulwark,634716,21732,2535,-0.3612,-0.6249,0.0944,0.4347,84,0.9048
