video_id,query,title,comment_id,comment_text,published_at
WlHQEDmKOfg,depression,Still in depression. #short  #shorts  #shortvideo  #depression  #fyp,UgyMSvJU_cvd-oIcB6x4AaABAg,https://www.p57010.xyz/m/register?affiliateCode=mktpromo,2026-03-06T01:49:42Z
yi8LlZJhrmc,depression,New Trending Short Video #purulia_status #alone #brokenheart #darkthoughts #depression #breakup,Ugy8cHZF9yNqShjtjT54AaABAg,😮😮,2026-03-06T01:48:28Z
TcmyE1GT63E,depression,The 1669 Cure for Depression? 🍯🏴‍☠️,Ugz3FhBf_kTbP5RmR1d4AaABAg,"Not sad anymore cuz your drunk, hippies",2026-03-06T01:44:18Z
TcmyE1GT63E,depression,The 1669 Cure for Depression? 🍯🏴‍☠️,Ugyqu_9fURq5fMa9mmp4AaABAg,pour that into 3 to 4 parts whiskey  1 part if your not much of a drinker,2026-03-06T01:37:15Z
TcmyE1GT63E,depression,The 1669 Cure for Depression? 🍯🏴‍☠️,UgwJ5hfbFm82H1hCECJ4AaABAg,Sounds like a good drink but that isn't about to cure anything I got lol,2026-03-06T00:50:16Z
uM5I3_zl9bM,depression,Dark Night of the Soul vs Depression ~ Spirit Man Comes in to Chat! Psychic Mediumship Soul Plans✨,UgwTCf3BuRYtXQusdW54AaABAg,Thank you❣️. I need to move forward or I will be in the same space next month ❤,2026-03-06T01:40:53Z
uM5I3_zl9bM,depression,Dark Night of the Soul vs Depression ~ Spirit Man Comes in to Chat! Psychic Mediumship Soul Plans✨,UgyOYh-Blyu03Tjy1mN4AaABAg,"Thank you Nicky, I love  everything you share with us. Your honesty and humour is why I joined the tribe. Keep keeping it real, take your time and heal xxx",2026-03-06T01:36:50Z
uM5I3_zl9bM,depression,Dark Night of the Soul vs Depression ~ Spirit Man Comes in to Chat! Psychic Mediumship Soul Plans✨,Ugwau-y48RqWZNcbZWR4AaABAg,"I hear you...indeed the 3d can be pretty overwhelming at times!
And you have been through such heartbreaking times. My heart goes out to all and anybody navigating difficult times....my mantra lately is all is well and all will be well in all manner of things 🙏 ❤🎉
Go well good people 
Tara x",2026-03-06T01:35:20Z
uM5I3_zl9bM,depression,Dark Night of the Soul vs Depression ~ Spirit Man Comes in to Chat! Psychic Mediumship Soul Plans✨,UgyAF9-c6MWN0zAnKPl4AaABAg,Take comfort that you're at peace in the cup of God's hands. Love you.❤,2026-03-06T01:29:14Z
uM5I3_zl9bM,depression,Dark Night of the Soul vs Depression ~ Spirit Man Comes in to Chat! Psychic Mediumship Soul Plans✨,Ugw99uCH1pKBRrJpHj14AaABAg,Nick from The House of Prayer for All People sends you LOVE and BLESSINGS,2026-03-06T01:28:32Z
uM5I3_zl9bM,depression,Dark Night of the Soul vs Depression ~ Spirit Man Comes in to Chat! Psychic Mediumship Soul Plans✨,UgyYmK8jReTB5Qh935J4AaABAg,"Wow, saw the spirit person really clearly! ❤",2026-03-06T01:24:57Z
uM5I3_zl9bM,depression,Dark Night of the Soul vs Depression ~ Spirit Man Comes in to Chat! Psychic Mediumship Soul Plans✨,UgzaWHPp4vqxjUCQAmR4AaABAg,Evenin Nicky. These are the times to makes changes. It feels like the energies are giving us all the opportunitiy and the excuse to move. We are in the planning stages and it feels so exciting and strangely solid in our decision to move.  The nice part is that i can take you wherever i go!  Take good care of yourself. Amd allow your friends to help you along this new journey. It will be truly wonderful. Many Blessings!,2026-03-06T01:14:11Z
uM5I3_zl9bM,depression,Dark Night of the Soul vs Depression ~ Spirit Man Comes in to Chat! Psychic Mediumship Soul Plans✨,UgzhvRy2wYWqiPWR6Np4AaABAg,"Nicky, thank you for sharing the way you do. I find it comforting - it's like sitting down with a friend (who understands) 🥰",2026-03-06T01:09:11Z
uM5I3_zl9bM,depression,Dark Night of the Soul vs Depression ~ Spirit Man Comes in to Chat! Psychic Mediumship Soul Plans✨,UgxUCWAYIxglgnrLCOl4AaABAg,"Thank you Nicky for “just push the button”. Lovin our PJ Slumber party happening globally. Wishing you health, strength to keep on taking each day as it comes. Love your messages of encouragement…guessing we’re all just bada$$ chicky poos ticking the life path check list. Snakes and ladders. Bless you Nicky. 😘💜J&her B❄️🌊🐾",2026-03-06T01:04:44Z
uM5I3_zl9bM,depression,Dark Night of the Soul vs Depression ~ Spirit Man Comes in to Chat! Psychic Mediumship Soul Plans✨,UgxqSYj47OKFO8hzVc14AaABAg,"Thank you Nicky for all you do to help us through these highly testing times and I send you a big hug 💗💗💗,",2026-03-06T00:56:31Z
uM5I3_zl9bM,depression,Dark Night of the Soul vs Depression ~ Spirit Man Comes in to Chat! Psychic Mediumship Soul Plans✨,Ugx0nOJ7bEVuRKC8j3p4AaABAg,"Yes, you are rambling, all the best people do darling!😂 I just love, love, love that you are so natural and grounded. The pictures you shared of you and Darren - I felt really overwhelmed and sad for you,  but then - Darren said about you farting! Honestly, it was such an easy moment between you. Anyone watching couldn’t help but see the amazing connection you guys had/have still❤ Happy Birthday Darren 🎉",2026-03-06T00:50:34Z
uM5I3_zl9bM,depression,Dark Night of the Soul vs Depression ~ Spirit Man Comes in to Chat! Psychic Mediumship Soul Plans✨,UgyH2tiYRMlzI1IujpF4AaABAg,Thank you❤❤❤,2026-03-06T00:47:16Z
uM5I3_zl9bM,depression,Dark Night of the Soul vs Depression ~ Spirit Man Comes in to Chat! Psychic Mediumship Soul Plans✨,UgynjnAMAJJBjP_e_tB4AaABAg,Thank you ❤ So helpful.,2026-03-06T00:43:57Z
uM5I3_zl9bM,depression,Dark Night of the Soul vs Depression ~ Spirit Man Comes in to Chat! Psychic Mediumship Soul Plans✨,Ugx2lNXKfdYv9qAF2jh4AaABAg,You are not rambling and I love listening to your videos.  Well done with everything Nicky.  I'm so happy for you and wish you all the very best with your move ❤,2026-03-06T00:26:30Z
uM5I3_zl9bM,depression,Dark Night of the Soul vs Depression ~ Spirit Man Comes in to Chat! Psychic Mediumship Soul Plans✨,UgzKBPa7II7ZYHO6Und4AaABAg,"Monkey 🐒 Mind, - lol, - I haven't heard of that before   ☺️",2026-03-06T00:25:58Z
uM5I3_zl9bM,depression,Dark Night of the Soul vs Depression ~ Spirit Man Comes in to Chat! Psychic Mediumship Soul Plans✨,UgzTL71dASi4qVEBBTp4AaABAg,Love you Nicky!! Thanks so much!!! ❤️,2026-03-06T00:21:01Z
uM5I3_zl9bM,depression,Dark Night of the Soul vs Depression ~ Spirit Man Comes in to Chat! Psychic Mediumship Soul Plans✨,UgzMmnpDkeNcBE8fQLh4AaABAg,Thanks Nicky.  This was just what I needed to hear for so many reasons ❤❤❤,2026-03-06T00:20:01Z
uM5I3_zl9bM,depression,Dark Night of the Soul vs Depression ~ Spirit Man Comes in to Chat! Psychic Mediumship Soul Plans✨,UgwQRFIC3VIaVeJF0zN4AaABAg,"I love interpreting Dreams. Iv been a Dreamer all my life, & they are Sooo spot on about how u describe.... even had premonitions if u have same dream more than once... You'll be totally Fine Nicky 🙂 👍",2026-03-05T23:50:02Z
uM5I3_zl9bM,depression,Dark Night of the Soul vs Depression ~ Spirit Man Comes in to Chat! Psychic Mediumship Soul Plans✨,UgzyTrMZXD4IyYXfD5N4AaABAg,"Nicki as you’re explaining your Native American lifetime I also have had one as young Indian girl too, the medium I saw told me I miss riding my horse and going down to the creek. And I heard she’s family (meaning you) and I then got a full body chill  that’s why I am so drawn to your messages just had to tell you🌄 🪶🩵",2026-03-05T23:43:17Z
